Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
客流分析1,3952,1389,1224,2019,2596,5885,584,7515,0.00%,0.28878,239.46,1.86
442 /cgi-bin/oss_log?inputc=utf-8&outputc=utf-8&func=OssLogNSid&outputf=json,3952,93,86,91,94,134,76,4761,0.00%,0.2888,0.07,0.64
444 /bp/static/css/chunk-3222.61d6e61d.css,3952,17,8,33,56,142,2,4541,0.00%,0.28882,0.28,0.12
445 /bp/static/js/chunk-3222.8d7eb718.js,3952,15,7,30,51,151,2,1013,0.00%,0.28883,3.05,0.11
443 /bp/static/js/chunk-5e49.f50e9721.js,3952,340,189,600,1090,3128,53,6074,0.00%,0.28882,235.4,0.11
447 /api-behavior-web/behavior/api.do,3952,156,142,220,282,396,61,4746,0.00%,0.28882,0.2,0.3
448 /matrix-admin/matrix/api.do,3952,169,147,221,257,420,106,4509,0.00%,0.28882,0.28,0.27
446 /api-behavior-web/behavior/api.do,3952,595,603,912,1030,1664,183,5475,0.00%,0.28881,0.22,0.3
售后管理1,3951,322,246,465,633,1230,17,21427,0.13%,0.2896,23.83,0.59
355 /bp/static/css/chunk-4c6d.48480655.css,3951,21,10,39,59,147,2,4607,0.00%,0.2896,0.57,0.12
356 /bp/static/js/chunk-4c6d.59c874e4.js,3951,28,13,54,91,274,3,4379,0.00%,0.2896,7.3,0.11
357 /api-order-web/order/api.do,3951,272,218,360,478,761,3,21364,0.13%,0.2896,15.95,0.36
支付方式1,3951,95,64,137,214,670,30,4909,0.00%,0.28958,5.11,0.5
640 /bp/static/css/chunk-23b1.6b94d135.css,3951,20,9,34,53,238,2,4339,0.00%,0.28958,0.32,0.12
641 /bp/static/js/chunk-23b1.f08e9b87.js,3951,18,7,34,55,249,2,3049,0.00%,0.28958,4.21,0.11
642 /api-manager-web/manager/api.do,3951,56,46,75,95,192,23,4681,0.00%,0.28958,0.58,0.27
提现明细1,3951,187,140,271,378,797,96,7768,0.00%,0.28958,12.09,0.92
559 /bp/static/css/chunk-4571.a7a8fae2.css,3951,16,7,31,47,150,3,4778,0.00%,0.28958,0.85,0.12
560 /bp/static/js/chunk-4571.e247ab6e.js,3951,29,13,50,84,279,3,4419,0.00%,0.28958,9.33,0.12
561 /api-financial-web/financial/api.do,3951,80,64,101,139,274,38,4653,0.00%,0.28958,1.84,0.34
562 /cgi-bin/oss_log?inputc=utf-8&outputc=utf-8&func=OssLogNSid&outputf=json,3951,60,47,87,89,123,38,3087,0.00%,0.28958,0.07,0.34
个人中心1,3951,335,281,438,543,1028,198,5309,0.00%,0.28957,3.83,1.24
295 /api-decoration-web/decoration/api.do,3951,69,58,91,119,239,34,4923,0.00%,0.28958,1.07,0.28
296 /api-manager-web/manager/api.do,3951,55,46,74,97,197,20,4625,0.00%,0.28958,0.58,0.27
297 /api-decoration-web/decoration/api.do,3951,108,90,130,163,306,54,4838,0.00%,0.28958,1.09,0.35
298 /api-decoration-web/decoration/api.do,3951,101,86,125,154,329,56,4835,0.00%,0.2896,1.09,0.35
查看顶大详情1,3951,268,202,377,472,1043,64,20062,0.13%,0.2896,6.42,0.95
383 /bp/undefined,3951,17,8,36,50,155,3,1068,0.00%,0.2896,1.85,0.11
385 /api-order-web/order/api.do,3951,65,42,78,103,204,4,19743,0.13%,0.2896,0.23,0.27
386 /mkt-api/v1/b/order-after-sale/order-rewards/100004530,3951,60,45,89,130,252,25,4939,0.00%,0.2896,0.12,0.17
384 /api-order-web/order/api.do,3951,104,89,137,176,307,3,4768,0.13%,0.2896,2.38,0.28
387 /bp/null,3951,19,8,35,52,181,3,4601,0.00%,0.2896,1.85,0.11
身份属性1,3951,371,300,494,594,1329,189,5970,0.00%,0.28959,3.48,1.12
